fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;Tipo Vinho
6.2;0.45;0.2;1.6;0.069;9.0;30.0;0.9958;3.41;0.56;9.2;5.0;Red
7.8;0.43;0.49;1.9;0.086;22.0;67.0;0.9974;3.13;0.72;9.4;5.0;Red
7.4;0.5;0.47;2.0;0.086;21.0;73.0;0.997;3.36;0.57;9.1;5.0;Red
7.3;0.59;0.26;1.8;0.086;16.0;51.0;0.9969;3.16;0.72;9.4;5.0;Red
6.3;0.3;0.48;1.8;0.069;18.0;61.0;0.9959;3.42;0.72;10.3;6.0;Red
6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9961;3.41;0.59;10.1;5.0;Red
8.6;0.49;0.28;1.9;0.086;20.0;136.0;0.9972;3.02;0.72;9.9;6.0;Red
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5.0;Red
8.8;0.39;0.44;2.1;0.086;34.0;125.0;0.9978;3.14;0.72;9.5;5.0;Red
7.0;0.59;0.14;1.8;0.076;9.0;30.0;0.9978;3.42;0.53;9.1;5.0;Red
7.9;0.52;0.26;1.9;0.079;42.0;140.0;0.9964;3.23;0.54;9.5;5.0;Red
8.6;0.49;0.28;1.9;0.086;20.0;136.0;0.9972;3.02;0.72;9.9;6.0;Red
8.6;0.49;0.29;2.0;0.086;19.0;133.0;0.9972;3.02;0.72;9.8;5.0;Red
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;5.0;Red
6.0;0.59;0.14;1.4;0.045;41.0;85.0;0.9938;3.42;0.48;10.5;5.0;Red
6.0;0.59;0.17;2.3;0.058;17.0;106.0;0.9932;3.42;0.6;12.3;6.0;Red
6.8;0.59;0.14;3.0;0.086;9.0;30.0;0.9965;3.42;0.56;10.7;5.0;Red
7.0;0.5;0.25;2.0;0.07;9.0;30.0;0.9963;3.25;0.63;9.2;5.0;Red
7.6;0.59;0.14;2.5;0.079;9.0;30.0;0.9967;3.39;0.56;9.8;5.0;Red
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9972;3.3;0.59;9.1;6.0;Red
8.3;0.59;0.3;2.1;0.084;11.0;50.0;0.9972;3.4;0.61;10.2;6.0;Red
7.8;0.5;0.3;1.9;0.075;9.0;30.0;0.9959;3.31;0.56;10.4;6.0;Red
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9972;3.3;0.59;9.1;6.0;Red
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;5.0;Red
7.2;0.49;0.24;2.2;0.07;9.0;36.0;0.996;3.33;0.48;9.4;5.0;Red
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;5.0;Red
7.8;0.41;0.49;1.7;0.086;18.0;69.0;0.9973;3.08;0.72;9.3;5.0;Red
6.2;0.59;0.31;1.7;0.086;15.0;64.0;0.9969;3.42;0.72;9.3;5.0;Red
8.0;0.33;0.49;2.5;0.086;18.0;80.0;0.9976;3.37;0.72;9.6;6.0;Red
8.1;0.59;0.49;2.0;0.086;37.0;153.0;0.9969;3.21;0.69;9.3;5.0;Red
7.8;0.56;0.19;1.8;0.086;12.0;47.0;0.9964;3.19;0.72;9.5;5.0;Red
8.4;0.59;0.14;2.2;0.084;11.0;108.0;0.9964;3.15;0.66;9.8;5.0;Red
8.4;0.59;0.14;2.2;0.085;14.0;111.0;0.9964;3.15;0.66;9.8;5.0;Red
8.8;0.31;0.44;2.3;0.08;22.0;46.0;0.9984;3.32;0.67;9.7;6.0;Red
7.8;0.56;0.19;1.8;0.086;12.0;47.0;0.9964;3.19;0.72;9.5;5.0;Red
8.8;0.4;0.31;2.2;0.086;13.0;62.0;0.9966;3.07;0.63;10.5;6.0;Red
8.3;0.54;0.28;1.9;0.077;11.0;40.0;0.9978;3.39;0.61;10.0;6.0;Red
7.8;0.56;0.14;2.0;0.08199999999999999;9.0;30.0;0.997;3.37;0.5;9.4;6.0;Red
8.8;0.55;0.14;2.2;0.086;14.0;56.0;0.9962;3.21;0.6;10.9;6.0;Red
7.0;0.59;0.14;1.8;0.086;22.0;89.0;0.9959;3.34;0.54;9.2;6.0;Red
7.3;0.59;0.14;1.7;0.086;10.0;89.0;0.9962;3.3;0.57;9.1;5.0;Red
8.8;0.55;0.14;2.2;0.086;14.0;56.0;0.9962;3.21;0.6;10.9;6.0;Red
7.3;0.59;0.14;2.5;0.075;9.0;30.0;0.998;3.42;0.52;9.2;5.0;Red
8.0;0.59;0.14;2.6;0.08;11.0;34.0;0.9976;3.42;0.53;9.5;5.0;Red
7.8;0.5;0.17;1.6;0.08199999999999999;21.0;102.0;0.996;3.39;0.48;9.5;5.0;Red
8.8;0.59;0.14;1.9;0.086;27.0;90.0;0.9984;3.16;0.7;9.4;5.0;Red
8.2;0.59;0.14;1.7;0.081;9.0;30.0;0.9964;3.42;0.49;10.9;5.0;Red
8.1;0.59;0.14;1.8;0.08199999999999999;9.0;30.0;0.9964;3.42;0.48;10.9;5.0;Red
8.0;0.59;0.16;1.8;0.065;9.0;30.0;0.9962;3.42;0.72;10.5;7.0;Red
6.1;0.38;0.15;1.8;0.07200000000000001;9.0;30.0;0.9955;3.42;0.57;9.4;5.0;Red
8.0;0.59;0.49;2.0;0.086;30.0;134.0;0.9968;3.24;0.66;9.4;5.0;Red
6.0;0.5;0.14;2.3;0.049;17.0;99.0;0.9937;3.42;0.63;12.3;5.0;Red
6.0;0.5;0.14;2.3;0.049;17.0;99.0;0.9937;3.42;0.63;12.3;5.0;Red
6.6;0.5;0.14;1.5;0.06;17.0;30.0;0.9952;3.4;0.58;9.8;6.0;Red
7.9;0.59;0.14;2.2;0.084;13.0;30.0;0.9959;3.22;0.55;9.9;6.0;Red
8.4;0.59;0.14;1.9;0.086;16.0;63.0;0.9965;3.19;0.72;9.6;5.0;Red
8.3;0.59;0.15;1.8;0.086;10.0;52.0;0.9968;3.23;0.72;9.5;5.0;Red
7.2;0.415;0.36;2.0;0.081;13.0;45.0;0.9972;3.42;0.64;9.2;5.0;Red
7.8;0.56;0.19;2.1;0.081;15.0;105.0;0.9962;3.33;0.54;9.5;5.0;Red
7.8;0.56;0.19;2.0;0.081;17.0;108.0;0.9962;3.32;0.54;9.5;5.0;Red
8.4;0.59;0.14;1.9;0.086;16.0;63.0;0.9965;3.19;0.72;9.6;5.0;Red
8.3;0.59;0.15;1.8;0.086;10.0;52.0;0.9968;3.23;0.72;9.5;5.0;Red
6.0;0.34;0.14;1.8;0.05;27.0;63.0;0.9916;3.42;0.72;12.3;6.0;Red
6.3;0.39;0.14;1.7;0.066;9.0;30.0;0.9954;3.34;0.58;9.4;5.0;Red
6.0;0.34;0.14;1.8;0.05;27.0;63.0;0.9916;3.42;0.72;12.3;6.0;Red
8.1;0.59;0.49;1.8;0.086;32.0;141.0;0.9968;3.17;0.62;9.4;5.0;Red
6.0;0.59;0.14;1.8;0.086;21.0;94.0;0.9944;3.42;0.52;10.0;5.0;Red
7.6;0.49;0.26;1.6;0.086;10.0;88.0;0.9968;3.11;0.72;9.3;5.0;Red
6.9;0.49;0.14;2.3;0.07400000000000001;12.0;30.0;0.9959;3.42;0.58;10.2;6.0;Red
8.2;0.4;0.44;2.8;0.086;11.0;43.0;0.9975;3.42;0.61;10.5;6.0;Red
7.3;0.33;0.47;2.1;0.077;9.0;30.0;0.9958;3.33;0.53;10.3;6.0;Red
8.8;0.52;0.49;3.4;0.086;32.0;69.0;0.9984;3.02;0.72;9.4;5.0;Red
7.5;0.59;0.14;1.8;0.086;25.0;99.0;0.995;3.35;0.54;10.1;5.0;Red
7.5;0.59;0.14;1.8;0.086;25.0;99.0;0.995;3.35;0.54;10.1;5.0;Red
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.42;0.72;10.5;5.0;Red
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5.0;Red
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9973;3.42;0.72;10.5;5.0;Red
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9973;3.42;0.71;10.5;5.0;Red
7.1;0.59;0.14;2.2;0.073;12.0;30.0;0.9969;3.42;0.5;9.3;5.0;Red
6.8;0.59;0.18;1.9;0.079;18.0;86.0;0.9968;3.42;0.57;9.3;6.0;Red
7.6;0.59;0.14;2.0;0.086;9.0;30.0;0.9959;3.2;0.56;9.6;5.0;Red
7.6;0.59;0.14;1.3;0.07200000000000001;9.0;30.0;0.9965;3.17;0.72;9.2;5.0;Red
7.8;0.53;0.14;1.7;0.076;17.0;31.0;0.9964;3.33;0.56;10.0;6.0;Red
7.4;0.59;0.26;7.3;0.07;36.0;121.0;0.9982;3.37;0.49;9.4;5.0;Red
7.3;0.59;0.26;7.2;0.07;35.0;121.0;0.9981;3.37;0.49;9.4;5.0;Red
7.8;0.59;0.48;1.7;0.086;14.0;96.0;0.9961;3.19;0.62;9.5;5.0;Red
6.8;0.59;0.14;2.1;0.085;18.0;101.0;0.9956;3.34;0.52;10.2;5.0;Red
7.3;0.55;0.14;1.6;0.07200000000000001;17.0;42.0;0.9956;3.37;0.48;9.1;5.0;Red
6.8;0.59;0.14;2.1;0.086;11.0;44.0;0.9953;3.42;0.55;10.4;6.0;Red
7.5;0.59;0.24;1.8;0.086;15.0;63.0;0.9964;3.02;0.72;9.5;5.0;Red
7.9;0.59;0.14;1.8;0.058;9.0;30.0;0.9972;3.36;0.37;9.1;5.0;Red
8.0;0.42;0.17;2.0;0.073;9.0;30.0;0.9972;3.29;0.61;9.2;6.0;Red
8.0;0.42;0.17;2.0;0.073;9.0;30.0;0.9972;3.29;0.61;9.2;6.0;Red
7.4;0.59;0.14;1.9;0.068;24.0;42.0;0.9961;3.42;0.57;11.5;6.0;Red
7.3;0.38;0.21;2.0;0.08;9.0;35.0;0.9961;3.33;0.47;9.5;5.0;Red
6.9;0.5;0.14;1.5;0.085;19.0;49.0;0.9958;3.35;0.72;9.5;5.0;Red
7.3;0.38;0.21;2.0;0.08;9.0;35.0;0.9961;3.33;0.47;9.5;5.0;Red
7.5;0.52;0.42;2.3;0.086;9.0;38.0;0.9972;3.42;0.61;10.5;6.0;Red
7.0;0.59;0.14;2.5;0.068;9.0;30.0;0.9969;3.42;0.56;9.6;5.0;Red
8.8;0.59;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;5.0;Red
8.8;0.59;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;5.0;Red
8.8;0.59;0.49;2.0;0.086;23.0;110.0;0.9972;3.12;0.72;9.3;5.0;Red
7.2;0.59;0.14;2.5;0.076;16.0;42.0;0.9972;3.42;0.52;9.3;5.0;Red
6.8;0.59;0.2;1.8;0.077;11.0;65.0;0.9971;3.42;0.58;9.3;5.0;Red
6.7;0.59;0.21;1.9;0.079;9.0;62.0;0.997;3.42;0.58;9.3;6.0;Red
8.8;0.31;0.49;2.0;0.086;26.0;85.0;0.9971;3.26;0.53;9.7;5.0;Red
7.4;0.39;0.48;2.0;0.08199999999999999;14.0;67.0;0.9972;3.34;0.55;9.2;5.0;Red
7.7;0.59;0.14;2.6;0.084;9.0;30.0;0.9976;3.39;0.49;9.7;5.0;Red
7.9;0.5;0.33;2.0;0.084;15.0;143.0;0.9968;3.2;0.55;9.5;5.0;Red
7.9;0.49;0.32;1.9;0.08199999999999999;17.0;144.0;0.9968;3.2;0.55;9.5;5.0;Red
8.2;0.5;0.35;2.9;0.077;21.0;127.0;0.9976;3.23;0.62;9.4;5.0;Red
6.4;0.37;0.25;1.9;0.07400000000000001;21.0;49.0;0.9974;3.42;0.62;9.8;6.0;Red
6.8;0.59;0.14;3.8;0.086;16.0;126.0;0.9969;3.28;0.61;9.5;5.0;Red
7.6;0.55;0.21;2.2;0.071;9.0;30.0;0.9964;3.28;0.55;9.7;5.0;Red
7.6;0.55;0.21;2.2;0.071;9.0;30.0;0.9964;3.28;0.55;9.7;5.0;Red
7.8;0.59;0.33;2.0;0.07400000000000001;24.0;120.0;0.9968;3.25;0.54;9.4;5.0;Red
7.3;0.58;0.3;2.4;0.07400000000000001;15.0;55.0;0.9968;3.42;0.59;10.2;5.0;Red
8.8;0.3;0.49;2.0;0.067;12.0;30.0;0.9981;3.11;0.72;10.1;6.0;Red
6.0;0.59;0.14;1.3;0.046;13.0;93.0;0.9924;3.42;0.72;12.3;7.0;Red
6.9;0.59;0.14;2.1;0.061;12.0;31.0;0.9948;3.42;0.43;11.4;5.0;Red
8.8;0.32;0.47;1.4;0.056;9.0;30.0;0.99695;3.22;0.72;10.3;7.0;Red
8.8;0.37;0.48;2.1;0.086;39.0;145.0;0.9975;3.04;0.72;9.3;5.0;Red
6.8;0.5;0.14;1.5;0.075;16.0;49.0;0.99545;3.36;0.72;9.5;5.0;Red
7.0;0.42;0.35;1.6;0.086;16.0;39.0;0.9961;3.34;0.55;9.2;5.0;Red
7.0;0.43;0.36;1.6;0.086;14.0;37.0;0.99615;3.34;0.56;9.2;6.0;Red
8.8;0.3;0.49;2.6;0.086;9.0;30.0;0.9984;3.2;0.72;10.8;7.0;Red
8.8;0.3;0.49;2.6;0.086;9.0;30.0;0.9984;3.2;0.72;10.8;7.0;Red
7.8;0.57;0.31;1.8;0.069;26.0;120.0;0.99625;3.29;0.53;9.3;5.0;Red
7.8;0.44;0.28;2.7;0.086;18.0;95.0;0.9966;3.22;0.67;9.4;5.0;Red
8.8;0.3;0.49;2.1;0.054000000000000006;9.0;30.0;0.998;3.31;0.72;10.5;7.0;Red
8.8;0.53;0.49;2.0;0.039;9.0;30.0;0.99585;3.3;0.72;12.3;6.0;Red
8.0;0.59;0.24;2.8;0.083;10.0;62.0;0.99685;3.35;0.56;10.0;6.0;Red
8.8;0.44;0.49;2.1;0.059;9.0;30.0;0.998;3.21;0.67;10.2;6.0;Red
8.2;0.57;0.26;2.2;0.06;28.0;65.0;0.9959;3.3;0.43;10.1;5.0;Red
7.8;0.59;0.14;2.4;0.086;10.0;41.0;0.9974;3.24;0.71;9.8;6.0;Red
7.0;0.49;0.49;5.6;0.06;26.0;121.0;0.9974;3.34;0.72;10.5;5.0;Red
8.7;0.59;0.16;2.0;0.086;13.0;49.0;0.9962;3.14;0.57;11.0;5.0;Red
8.1;0.59;0.22;2.2;0.07200000000000001;11.0;41.0;0.9967;3.36;0.55;9.1;5.0;Red
7.5;0.49;0.19;1.9;0.076;10.0;44.0;0.9957;3.39;0.54;9.7;5.0;Red
7.8;0.53;0.33;2.4;0.08;24.0;144.0;0.99655;3.3;0.6;9.5;5.0;Red
7.8;0.34;0.37;2.0;0.08199999999999999;24.0;58.0;0.9964;3.34;0.59;9.4;6.0;Red
7.4;0.53;0.26;2.0;0.086;16.0;72.0;0.9957;3.15;0.57;9.4;5.0;Red
6.8;0.59;0.14;1.5;0.057;9.0;30.0;0.99525;3.42;0.6;9.5;5.0;Red
8.6;0.59;0.25;2.0;0.083;9.0;30.0;0.99815;3.28;0.6;10.0;6.0;Red
8.4;0.59;0.36;2.0;0.086;15.0;55.0;0.99745;3.31;0.57;10.4;5.0;Red
7.7;0.43;0.25;2.6;0.073;29.0;63.0;0.99615;3.37;0.58;10.5;6.0;Red
8.8;0.59;0.49;2.0;0.086;27.0;81.0;0.9964;3.04;0.72;9.5;6.0;Red
8.8;0.59;0.14;2.6;0.086;9.0;30.0;0.9984;3.39;0.63;9.8;5.0;Red
7.7;0.43;0.25;2.6;0.073;29.0;63.0;0.99615;3.37;0.58;10.5;6.0;Red
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.42;0.5;11.0;5.0;Red
6.0;0.48;0.14;1.6;0.054000000000000006;19.0;106.0;0.9927;3.42;0.62;12.2;7.0;Red
8.0;0.38;0.14;1.8;0.078;12.0;49.0;0.99625;3.37;0.52;9.9;6.0;Red
8.5;0.37;0.2;2.8;0.086;18.0;58.0;0.998;3.34;0.7;9.6;6.0;Red
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.42;0.5;11.0;5.0;Red
8.2;0.59;0.14;2.3;0.065;9.0;37.0;0.99685;3.32;0.55;9.1;6.0;Red
7.2;0.59;0.14;1.9;0.086;14.0;38.0;0.99675;3.37;0.58;9.1;6.0;Red
7.2;0.59;0.14;1.9;0.086;14.0;38.0;0.99675;3.37;0.58;9.1;6.0;Red
7.2;0.59;0.14;1.9;0.086;15.0;39.0;0.99675;3.37;0.58;9.2;6.0;Red
7.2;0.59;0.14;1.9;0.086;14.0;38.0;0.99675;3.37;0.58;9.1;6.0;Red
8.2;0.59;0.14;2.3;0.065;9.0;37.0;0.99685;3.32;0.55;9.1;6.0;Red
8.8;0.59;0.37;1.7;0.086;9.0;62.0;0.9971;3.02;0.72;9.3;5.0;Red
8.8;0.38;0.49;2.1;0.086;9.0;30.0;0.9984;3.14;0.71;10.9;6.0;Red
7.7;0.58;0.14;1.8;0.086;28.0;109.0;0.99565;3.08;0.49;9.8;6.0;Red
8.8;0.21;0.44;2.2;0.075;10.0;30.0;0.9984;3.07;0.72;9.2;7.0;Red
8.8;0.21;0.44;2.2;0.075;10.0;30.0;0.9984;3.07;0.72;9.2;7.0;Red
7.3;0.59;0.14;2.0;0.084;9.0;30.0;0.9983;3.42;0.72;9.9;6.0;Red
7.1;0.59;0.14;1.9;0.075;16.0;51.0;0.99685;3.38;0.52;9.5;5.0;Red
8.2;0.59;0.17;2.3;0.07200000000000001;11.0;73.0;0.9963;3.2;0.45;9.3;5.0;Red
7.7;0.53;0.14;1.7;0.07400000000000001;9.0;39.0;0.99615;3.35;0.48;9.8;6.0;Red
7.3;0.59;0.14;2.0;0.084;9.0;30.0;0.9983;3.42;0.72;9.9;6.0;Red
8.8;0.32;0.44;1.6;0.063;16.0;37.0;0.9984;3.22;0.72;10.0;6.0;Red
7.1;0.59;0.14;1.8;0.07400000000000001;16.0;34.0;0.9972;3.42;0.7;9.9;6.0;Red
8.8;0.35;0.48;3.1;0.086;9.0;30.0;0.9984;3.17;0.53;10.5;5.0;Red
7.7;0.59;0.42;1.9;0.086;9.0;86.0;0.9959;3.23;0.59;9.5;5.0;Red
7.1;0.59;0.14;1.8;0.07400000000000001;16.0;34.0;0.9972;3.42;0.7;9.9;6.0;Red
8.0;0.57;0.23;3.2;0.073;17.0;119.0;0.99675;3.26;0.57;9.3;5.0;Red
8.8;0.34;0.37;2.2;0.075;9.0;30.0;0.998;3.22;0.62;9.2;5.0;Red
6.6;0.59;0.14;2.1;0.075;12.0;56.0;0.9968;3.42;0.67;9.2;5.0;Red
7.7;0.41;0.49;1.8;0.086;9.0;45.0;0.9968;3.06;0.72;9.4;5.0;Red
8.8;0.31;0.47;2.6;0.085;14.0;33.0;0.9984;3.36;0.72;10.5;7.0;Red
7.9;0.33;0.23;1.7;0.077;18.0;45.0;0.99625;3.29;0.65;9.3;5.0;Red
7.0;0.59;0.14;2.0;0.086;12.0;67.0;0.99565;3.35;0.6;9.4;5.0;Red
8.0;0.52;0.14;1.7;0.07;10.0;35.0;0.99575;3.34;0.57;10.0;5.0;Red
