CLASSE,TEXTO
POS,ENSAIO DO ECE (ESQUEMA ESPECIAL PARA DESLIGAMENTO DE MÁQUINA EM TUCURUÍ COMANDADO PELO CLP DE FURNAS) ENTRE IMPERATRIZ E TUCURUÍ E ADEQUAÇÃO DAS LÓGICAS DAS REFERIDAS PROTEÇÃO.
POS,INSPECAO NO BSIAIV105. . INSPECAO NO BSIAIV105. 
POS,VERIFICACAO DO CIRCUITO DE ALIMENTACAO AUXILIAR DA CAIXA DE SINTONIA DA LINHA. . VERIFICACAO DO CIRCUITO DE ALIMENTACAO AUXILIAR DA CAIXA DE SINTONIA DA LINHA. 
POS,ABRIR AS FLEX-TESTES DOS BLOQUEIOS 86BF DOS DJ9132 DJ9232  E DJ9482. . ABRIR AS FLEX-TESTES DOS BLOQUEIOS 86BF DOS DJ9132 DJ9232  E DJ9482. 
POS,SUBSTITUICAO E OU LAVAGEM DE ISOLADORES POLUIDOS NA TORRE 256 . SUBSTITUICAO E OU LAVAGEM DE ISOLADORES POLUIDOS NA TORRE 256 
POS,TROCA DE ISOLADORES ENTRE AS TORRES 52 E 56 . TROCA DE ISOLADORES ENTRE AS TORRES 52 E 56 
POS,FAZER INSPECAO NA BOLSA DE AR DOS COMUTADORES DO AUTOTRAFO FASE A - ZTR . FAZER INSPECAO NA BOLSA DE AR DOS COMUTADORES DO AUTOTRAFO FASE A - ZTR 
POS,NORMALIZAR RELE 62BF REFERENTE AO DJ9026 . NORMALIZAR RELE 62BF REFERENTE AO DJ9026 
POS,NORMALIZAR RELE 62BF REFERENTE AO DJ8226 . NORMALIZAR RELE 62BF REFERENTE AO DJ8226 
POS,EFETUAR LIMPEZA DOS FLUXOMETROS DO SISTEMA DE REBAIXAMENTO. . EFETUAR LIMPEZA DOS FLUXOMETROS DO SISTEMA DE REBAIXAMENTO. 
POS,ADEQUAÇÃO DAS LÓGICAS DAS REFERIDAS PROTEÇÕES E TELEPROTEÇÃO ASSOCIADA AO ECE TUCURUÍ E NORTE SUL.
POS,ADEQUAÇÃO DAS LÓGICAS DAS REFERIDAS PROTEÇÕES E TELEPROTEÇÃO ASSOCIADA AO ECE TUCURUÍ E NORTE SUL
POS,EFETUAR DESCONEXÃO DE PULOS DO CONTATO MÓVEL DA CHAVE 34C6-6 COM O VÃO DO 04BA MRR E  DOS PULOS DO CONTADO FIXO DA CHAVE 34C6-6 COM VÃO DA 04C6 MRR FIM POSSIBILITAR MANUTENÇAO PREVENTIVA NA CHAVE.
POS,EFETUAR RECONEXÃO DE PULOS DO CONTATO MÓVEL DA CHAVE 34C6-6 COM O VÃO DO 04BA MRR E  DOS PULOS DO CONTATO FIXO DA CHAVE 34C6-6 COM VÃO DA 04C6 MRR.
POS,EFETUAR RECONEXÃO DE PULOS DO CONTATO MÓVEL DA CHAVE 34C6-6 COM O VÃO DO 04BA MRR E  DOS PULOS DO CONTATO FIXO DA CHAVE 34C6-6 COM VÃO DA 04C6 MRR.
POS,SUBSTITUIÇÃO DE BLOCOS DE INTERLIGAÇÃO E CONTACTORES NO CUBÍCULO DO DISJUNTOR 5M4.
POS,MP 12A NOS TC S DO EQUIPAMENTO.
POS,CONSTRUÇÃO DA REDE DE DUTOS PARA CAPTAÇÃO DE ÓLEO DAS BASES DOS TRS 1. 2 E 3.
POS,DESCONEXÃO DOS PULOS DO CONTATO MÓVEL DA CHAVE 34C5-6 COM VÃO DO 04BA MRR E DOS PULOS DO CONTATO FIXO COM A LT 04C5 MRR. FIM POSSIBILITAR MANUTENÇÃO NA CHAVE.
POS,RECONEXÃO DOS PULOS DO CONTATO MÓVEL DA CHAVE 34C5-6 COM VÃO DO 04BA MRR E DOS PULOS DO CONTATO FIXO COM A LT 04C5 MRR.
POS,DESCONEXÃO DOS PULOS DO CONTATO MÓVEL DA CHAVE 34C4-6 COM VÃO DO 04BA MRR E DOS PULOS DO CONTATO FIXO COM A LT 04C4 MRR. FIM POSSIBILITAR MANUTENÇÃO NA CHAVE.
POS,RECONEXÃO DOS PULOS DO CONTATO MÓVEL DA CHAVE 34C4-6 COM VÃO DO 04BA MRR E DOS PULOS DO CONTATO FIXO COM A LT 04C4 MRR.
POS,EFETUAR SUBSTITUIÇÃO DE ISOLADOR DE PEDESTAL NA 32H1-4 PRD.
POS,SPMX EFETUAR MEDIÇÃO DE DESGASTE E PRESSÃO DAS MOLAS. LIMPEZA E SUBSTITUIÇÃO DAS ESSCOVAS DO ANEL COLETOR DO GERADOR..         
POS,EFETUAR CORREÇÃO PONTO QUENTE NO CONECTOR CABO CHAPA DA FASE A DA CHAVE 32H1-4 MRR. 
POS,MUDANCA E TESTE NO CIRCUITO DE PROTECAO E CONTROLE. . MUDANCA E TESTE NO CIRCUITO DE PROTECAO E CONTROLE. 
POS,RETIRAR PENTE DO RELE 62BF. . RETIRAR PENTE DO RELE 62BF. 
POS,SUBSTITUICAO DAS FERRAGENS DE SUSTENTACAO DOS CABOS PERTENCENTES AO VAO DA LTADIT2 . SUBSTITUICAO DAS FERRAGENS DE SUSTENTACAO DOS CABOS PERTENCENTES AO VAO DA LTADIT2 
POS,TROCA DE RELACAO DE TC (DE 1200 5 PARA 2000 5) E AJUSTES DA PROTECAO ATENDENDO SOLICITACAO DA DAPR.O . TROCA DE RELACAO DE TC (DE 1200 5 PARA 2000 5) E AJUSTES DA PROTECAO ATENDENDO SOLICITACAO DA DAPR.O 
POS,MANUTENCAO CORRETIVA NO DJ956R (NORMALIZACAO DO SINCRONIZA- DOR) ATENDENDO SOLICITACAO DAT.O . MANUTENCAO CORRETIVA NO DJ956R (NORMALIZACAO DO SINCRONIZA- DOR) ATENDENDO SOLICITACAO DAT.O 
POS,SUBSTITUIÇÃO DO CABO CONDUTOR
POS,INSTALACAO DE VALVULAS PARA ISOLACAO PNEUMATICA ENTRE FASES . INSTALACAO DE VALVULAS PARA ISOLACAO PNEUMATICA ENTRE FASES 
POS,RECOLOCAR COMPRESSOR RETIRADO PARA REVISAO . RECOLOCAR COMPRESSOR RETIRADO PARA REVISAO 
POS,INSPECAO E LIMPEZA NA AREA DO BANCO . INSPECAO E LIMPEZA NA AREA DO BANCO 
POS,SUBSTITUICAO E OU LAVAGEM DE ISOLADORES POLUIDOS NA TORRE 256 . SUBSTITUICAO E OU LAVAGEM DE ISOLADORES POLUIDOS NA TORRE 256 
POS,EFETUAR SUBSTITUIÇÃO DAS CADEIAS DE PROTEÇÃO ASSOCIADAS A LT EM AMBOS OS TERMINAIS.
POS,EFETUAR SUBSTITUIÇÃO DE ISOLADORES DANIFICADOS EM CADEIAS DE TRANSPOSIÇÃO.
POS,MANUTENÇÃO CORRETIVA. PARA A RETIRADA DE CAPACITORES DAS FASES DO DISJUNTOR.
POS,DESCONEXÃO DOS PULOS DO CONTATO MÓVEL DA CHAVE 34C5-6 COM VÃO 04BA MRR E DOS PULOS DO CONTATO FIXO COM LT 04C5 MRR.
POS,SNSF EFETUAR MANUTENÇÃO PREVENTIVA NIVEL 4
POS,SNSF EFETUAR MANUTENÇÃO PREVENTIVA NIVEL 4
POS,SNSF EFETUAR MANUTENÇÃO PREVENTIVA NIVEL 4
POS,TESTE NO RELÉ DE PERDA DE EXCITAÇÃO (40).
POS,INSPEÇÃO: EM FOLGA DAS PÁS DIRETRIZES E FORRO NA TURBINA  NO SISTEMA DE REFRIGERAÇÃO  SISTEMA GERADOR  DE EXCITAÇÃO E REGULAGEM.
POS,SNSF EFETUAR INTERVENÇÃO PARA RELOCAR O PULO DE INTERLIGAÇÃO DA BUCHA DE 230KV COM O TC E POSSIBILITAR A CONSTRUÇÃO DA PAREDE CORTA-FOGO.
POS,EFETUAR INSTALAÇÃO DE PULOS DE INTERLIGAÇÃO DOS LINK DAS 34T3-6 34C2-6 COM LINK DO 14T3 34T3-4 NAS TRÊS FASES FIM POSSIBILITAR A DUPLICAÇÃO DO 04BP E EFETUAR MANUTENÇÃO PREVENTIVA EM CADEIAS DE ISOLADORES DOS BAYS DE 230 E 69KV DO 04T3 PRD.
POS,EFETUAR RETIRADA DOS PULOS DE INTERLIGAÇÃO DO LINK 34T3-6 34C2-6 COM O LINK 14T3 34T3-4 NAS TRÊS FASES APÓS DUPLICAÇÃO DO 04BP PRD.
POS,EFETUAR DUPLICAÇÃO DO 04BP DA SE PRD ENTRE O TRECHO 34C2-4 E 34S1-4 PRD  EFETUAR MANUTENÇÃO PREVENTIVA EM 34T2-4. 34T1-4. 34S1-4. 34C1-4. 34C2-4. 04T1. 04T2 E 14T1 PRD  EFETUAR DESMONTAGEM DE DOIS TPC S DA 04BP PRD    EFETUAR ADEQUAÇÕES MANUTENÇÃO TESTES NAS PROTEÇÕES. MEDIÇÃO OPERACIONAL E TELEMEDIÇÃO ASSOCIADAS A 04BP PRD E EFETUAR MANUTENÇÃO NAS CADEIAS DE ISOLADORES DOS BAYS 04T1 E 04BP PRD.
POS,SNSF EFETUAR INTERVENÇÃO CORRETIVA EM PONTO QUENTE NA CONEXÃO CHAPA-CHAPA DA CHAVE 32T1-5.
POS,EFETUAR DESCONEXÃO DOS PULOS DE INTERLIGAÇÃO DO 04BP PRD ENTRE AS 34C2-4 E 34S2-4 PRD. FIMPOSSIBILITAR POSTERIOR ENERGIZAÇÃO DO 04BP PRD TRECHO ENTRE A 34C2-4 E A 34S3-4 PRD.
POS,EFETUAR RECONEXÃO DOS PULOS DE INTERLIGAÇÃO DO 04BP PRD ENTRE AS 34C2-4 E 34S2-4 PRD. FIM POSSIBILITAR NORMALIZAÇÃO DO 04BP PRD.
POS,SANAR VAZAMENTO NO CIRCUITO HIDRAULICO DJ678 
POS,SANAR VAZAMENTO DE OLEO HIDRAULICO NO CIRCUITO DE ALTA PRESSAO DO DJ 688  ENSAIO DE TEMPO DO DJ 688 
POS,CONTROLE C2 NOS TCS E TPOCS DA LT EM JAGUARA.
POS,TESTES OPERATIVOS NO CIRCUITO  DE RELIGAMENTO AUTOMÁTICO DO DISJUNTOR 6U4.
POS,ELIMINAR VAZAMENTO DE ÓLEO NO MANCAL COMBINADO DA MQ 01.
POS,EFETUAR MANUTENÇÃO PREVENTIVA NO 04H2 E 14H2 RCD
POS,EFETUAR MANUTENÇÃO PREVENTIVA NO 04H1 E 14H1 RCD
POS,SOMS EFETUAR DESCONEXÃO DA FASE B DO 04E1 E SUBSTITUIR PELA RESERVA.
POS,SUBSTITUIÇÃO DOS TRANSMISSORES DE TEMPERATURA DO GERADOR 4.
POS,SPMS COMPLEMENTAR GAS SF6 
POS,SPMS EFETUAR COLETA DE AMOSTRA DE OLEO DA BUCHA DE AT FASE  C 
POS,ENSAIO DE CAMPO ELETRICO PARA DESENVOLVIMENTO DE FERRAMENTAS DE MANUTENCAO EM LINHA VIVA NO TRECHO ONDE AS TORRES SAO COMPACTAS 
POS,INSTALACAO DE REGULADORES DE TENSAO NO SISTEMA DE 460 VOLTS  INSTALACAO DE TRANSDUTORES NO PAINEL PCA1  MODIFICACAO DA LOGICA DE CHAVEAMENTO DO SERVICO AUXILIAR E TESTES FUNCIONAIS 
POS,MANUTENCAO EM ESPACADORES E ISOLADORES AO LONGO DA LT E ELIMINAR PONTO QUENTE DOS CONCTORES NAS TORRES. 5. 149 E 367  ELIMINAR PONTO QUENTE FASES A E B DA SECCIONADORA 8425 E FASE C 8427.  RECONEXAO DAS INFORMCOES DO RDP. 
POS,SUBSTITUIR ESPACADORES AMORTECEDORES AO LONGO DA LINHA. 
POS,SUBSTITUIR ESPACADORES AMORTECEDORES AO LONGO DA LINHA. 
POS,SUBSTITUIR ESPACADORES AMORTECEDORES AO LONGO DA LINHA. 
POS,COMPLETAR O OLEO DO TC8250T.  SANAR VAZAMENTO NO CUBICULO DO DJ8252 DA FASE  B   MANUTENCAO CORRETIVA NO CIRCUITO DE CONTROLE DA SC8255. 
POS,EFETUAR ATERRAMENTO LOCAL EM SUBISTITUICAO A CHAVE TERRA 8250T.  MANUTENCAO CORRETIVA NA CHAVE 8250T  RETIRAR ATERRAMENTO LOCAL EM SUBISTITUICAO A CHAVE TERRA 8250T. 
